Date,age group,one dose cumulative
2021-07-26,12-17yrs,5265
2021-07-26,18-29yrs,12382
2021-07-26,30-39yrs,11181
2021-07-26,40-49yrs,11583
2021-07-26,50-59yrs,15341
2021-07-26,60-69yrs,19741
2021-07-26,70-79yrs,14788
2021-07-26,80+,8842
2021-07-27,12-17yrs,5314
2021-07-27,18-29yrs,12462
2021-07-27,30-39yrs,11220
2021-07-27,40-49yrs,11610
2021-07-27,50-59yrs,15369
2021-07-27,60-69yrs,19763
2021-07-27,70-79yrs,14799
2021-07-27,80+,8842
2021-07-28,12-17yrs,5384
2021-07-28,18-29yrs,12523
2021-07-28,30-39yrs,11279
2021-07-28,40-49yrs,11649
2021-07-28,50-59yrs,15402
2021-07-28,60-69yrs,19796
2021-07-28,70-79yrs,14804
2021-07-28,80+,8846
2021-07-29,12-17yrs,5444
2021-07-29,18-29yrs,12556
2021-07-29,30-39yrs,11297
2021-07-29,40-49yrs,11675
2021-07-29,50-59yrs,15405
2021-07-29,60-69yrs,19801
2021-07-29,70-79yrs,14798
2021-07-29,80+,8840
2021-07-30,12-17yrs,5499
2021-07-30,18-29yrs,12627
2021-07-30,30-39yrs,11341
2021-07-30,40-49yrs,11692
2021-07-30,50-59yrs,15433
2021-07-30,60-69yrs,19808
2021-07-30,70-79yrs,14800
2021-07-30,80+,8841
2021-07-31,12-17yrs,5546
2021-07-31,18-29yrs,12660
2021-07-31,30-39yrs,11373
2021-07-31,40-49yrs,11717
2021-07-31,50-59yrs,15450
2021-07-31,60-69yrs,19820
2021-07-31,70-79yrs,14802
2021-07-31,80+,8842
2021-08-01,12-17yrs,5580
2021-08-01,18-29yrs,12696
2021-08-01,30-39yrs,11390
2021-08-01,40-49yrs,11735
2021-08-01,50-59yrs,15464
2021-08-01,60-69yrs,19824
2021-08-01,70-79yrs,14805
2021-08-01,80+,8844
2021-08-02,12-17yrs,5580
2021-08-02,18-29yrs,12696
2021-08-02,30-39yrs,11393
2021-08-02,40-49yrs,11739
2021-08-02,50-59yrs,15464
2021-08-02,60-69yrs,19824
2021-08-02,70-79yrs,14805
2021-08-02,80+,8844
2021-08-03,12-17yrs,5581
2021-08-03,18-29yrs,12698
2021-08-03,30-39yrs,11395
2021-08-03,40-49yrs,11740
2021-08-03,50-59yrs,15464
2021-08-03,60-69yrs,19824
2021-08-03,70-79yrs,14805
2021-08-03,80+,8844
2021-08-04,12-17yrs,5591
2021-08-04,18-29yrs,12705
2021-08-04,30-39yrs,11403
2021-08-04,40-49yrs,11746
2021-08-04,50-59yrs,15473
2021-08-04,60-69yrs,19827
2021-08-04,70-79yrs,14807
2021-08-04,80+,8843
2021-08-05,12-17yrs,5624
2021-08-05,18-29yrs,12731
2021-08-05,30-39yrs,11433
2021-08-05,40-49yrs,11761
2021-08-05,50-59yrs,15479
2021-08-05,60-69yrs,19836
2021-08-05,70-79yrs,14810
2021-08-05,80+,8843
2021-08-06,12-17yrs,5655
2021-08-06,18-29yrs,12767
2021-08-06,30-39yrs,11467
2021-08-06,40-49yrs,11783
2021-08-06,50-59yrs,15500
2021-08-06,60-69yrs,19842
2021-08-06,70-79yrs,14806
2021-08-06,80+,8838
2021-08-07,12-17yrs,5684
2021-08-07,18-29yrs,12811
2021-08-07,30-39yrs,11498
2021-08-07,40-49yrs,11799
2021-08-07,50-59yrs,15521
2021-08-07,60-69yrs,19852
2021-08-07,70-79yrs,14807
2021-08-07,80+,8836
2021-08-08,12-17yrs,5708
2021-08-08,18-29yrs,12835
2021-08-08,30-39yrs,11514
2021-08-08,40-49yrs,11806
2021-08-08,50-59yrs,15532
2021-08-08,60-69yrs,19856
2021-08-08,70-79yrs,14807
2021-08-08,80+,8837
2021-08-09,12-17yrs,5710
2021-08-09,18-29yrs,12842
2021-08-09,30-39yrs,11514
2021-08-09,40-49yrs,11807
2021-08-09,50-59yrs,15534
2021-08-09,60-69yrs,19858
2021-08-09,70-79yrs,14807
2021-08-09,80+,8837
2021-08-10,12-17yrs,5716
2021-08-10,18-29yrs,12850
2021-08-10,30-39yrs,11528
2021-08-10,40-49yrs,11813
2021-08-10,50-59yrs,15537
2021-08-10,60-69yrs,19860
2021-08-10,70-79yrs,14809
2021-08-10,80+,8839
2021-08-11,12-17yrs,5772
2021-08-11,18-29yrs,12920
2021-08-11,30-39yrs,11597
2021-08-11,40-49yrs,11894
2021-08-11,50-59yrs,15642
2021-08-11,60-69yrs,20070
2021-08-11,70-79yrs,14976
2021-08-11,80+,8860
2021-08-12,12-17yrs,5810
2021-08-12,18-29yrs,12956
